clusterNumber;delta_1;epsilon_1;zeta_1;alpha_2;beta_2;gamma_2;delta_2;chi_1;chi_2;NN;CC;mu;nu0_1;nu1_1;nu2_1;nu3_1;nu4_1;nu0_2;nu1_2;nu2_2;nu3_2;nu4_2;
109;12.867174720879;15.565821608561;16.112800098616;16.340158627615;14.728878617754;15.124284755143;13.628331535353;14.639912236841;15.394478949026;0.406609311282;0.413858423801;9.29863433094;12.682651856764;7.196391700486;7.015163887516;12.339966537693;15.213251136055;16.488435929136;17.490131477189;16.033718871138;13.984197059004;10.725391476686;
110;7.110720370719;15.77340983069;16.208356581819;14.626732032261;13.37790764834;13.631626586498;7.572027531006;14.949647044463;10.003775275951;0.445490914792;0.45998913983;8.010269333279;8.336479396626;5.044723302859;3.881570248706;6.807575665387;8.969129216449;10.923094545381;10.521098305702;7.766435548556;6.003583186028;7.99049902641;
113;3.848619737256;10.554048817151;11.008765875149;13.404268057499;10.353050697311;10.359640799601;7.687354321078;7.726894934817;8.214562504264;0.16804760839;0.171013154421;7.04481934782;6.31990809594;5.453309644828;4.171534749458;3.753063254054;5.183115450945;4.481269557079;4.102338675415;5.604881997494;6.804280614242;6.293547686781;
114;10.702326118672;14.603666674247;12.224639747621;12.053297088086;12.966026255226;13.499824540702;6.263892226476;14.735468720043;7.927893054657;0.396065147618;0.29128252121;3.993601987632;9.875268281299;6.69554392646;4.197895158617;6.744969693633;9.740171184358;5.19300060438;3.604785952533;4.003487141067;5.426949235669;6.066189157782;
115;10.112511963733;14.29063681548;14.023737672743;15.447199767344;13.071467891863;13.265875909413;9.183307540868;15.124284755143;13.980902007859;0.476793900669;0.342355813956;14.287341764335;12.666176601039;7.219457058501;5.492850258567;10.76163703928;12.962731204081;9.832432616415;8.099235714192;5.509325514292;6.850411330271;9.259093717201;
116;9.094341159955;11.005470824004;12.873764823168;13.57231566589;17.042004521481;13.275761062848;7.845516776034;13.470169080397;13.720592967411;0.278102316631;0.270523698997;7.598387940165;9.786301900387;5.954157418855;3.561950287649;7.123900575298;10.247609060674;8.151956532511;6.646118159286;4.949166819657;5.710323634131;7.660993911919;
117;12.280655617084;12.738667726227;13.335071983456;12.05659213923;15.901916825342;11.334975938495;16.333568525325;14.597076571957;11.374516552234;0.216814365335;0.238561702892;7.749960292831;11.447007677422;5.693848378407;7.229342211935;12.043411934651;14.125884258235;13.667872149092;11.427237370552;12.363031895707;14.903516328434;15.546051301692;
119;8.151956532511;12.484948788069;13.36472744376;14.270866508611;9.670975110315;12.026936678926;10.537573561426;14.336767531509;15.542756250547;0.267887658081;0.245481310296;14.224735792582;10.705621169817;7.519306712688;4.83054497844;7.347964053152;10.616654788904;11.496433444596;9.081160955376;8.507822056161;10.603474584325;12.25100015678;
1209;10.867078675917;11.961035656028;14.722288515464;15.79977023985;14.761829129203;10.844013317903;5.370933366205;15.41095420475;15.766819728401;0.518311545095;0.49887074334;13.786493990309;9.324994740099;7.700534525658;6.679068670735;7.819156366875;9.46668193933;5.710323634131;5.720208787566;4.530695324253;3.545475031925;4.372532869297;
121;5.76304445245;5.38740862193;7.100835217284;7.384209615746;7.479766098949;6.000288134883;7.947663361526;7.25899767224;8.758245943174;0.124882438392;0.14597076572;3.308231349491;12.158738724723;12.201574389607;7.41386507605;3.677277077721;8.695639971421;4.84372518302;3.51581957162;4.685562728064;6.31331799365;6.524201266924;
122;6.158450589839;7.235932314225;11.341566040785;13.868870268932;13.37790764834;10.053201043124;6.11231987381;10.046610940835;9.27227392178;0.442195863647;0.401666734565;5.051313405149;7.193096649341;6.053008953202;4.791004364701;5.440129440249;6.820755869966;4.445023994485;4.023257447937;5.087558967743;6.010173288318;5.683963224972;
1221;4.046322805951;7.535781968412;10.652900351498;15.503215636808;11.31850068277;11.140567920945;4.955756921947;9.114111466825;15.025433220796;0.390134055557;0.386839004413;13.328481881166;6.422054681432;5.641127560088;3.924405913589;3.614671105968;5.384113570785;6.744969693633;6.1189099761;4.810774671571;4.573530989137;5.891551447101;
123;5.95086236771;8.399085368379;7.265587774529;6.573627034098;6.13868028297;6.665888466156;7.908122747787;11.542564160624;10.063086196559;0.161457506101;0.143664229918;9.476567092765;7.60168299131;5.420359133379;7.394094769181;9.407371018722;9.720400877488;6.197991203578;5.58840674177;5.967337623434;6.656003312721;6.543971573794;
124;9.64131965001;10.603474584325;13.18349963079;11.437122523987;15.990883206255;9.407371018722;8.461691340132;8.043219844728;9.970824764502;0.180239297627;0.227029023884;5.509325514292;8.448511135553;7.282063030254;9.275568972925;11.14386297209;11.084552051482;6.438529937157;5.987107930304;7.127195626443;7.677469167643;7.097540166139;
1241;5.983812879159;14.857385612405;12.893535130038;12.465178481199;15.24949669865;12.979206459806;9.163537233998;14.732173668898;13.084648096443;0.417812485175;0.370034243574;16.112800098616;5.529095821161;4.988707433396;5.057903507439;5.57522653719;5.812470219624;9.766531593517;7.321603643993;5.792699912754;7.680764218788;9.964234662212;
126;3.621261208258;10.527688407992;11.924790093434;9.545763166808;12.659586498749;8.287053629452;4.178124851748;6.715314233329;7.740075139397;0.238891208006;0.210883273274;5.977222776869;5.057903507439;6.020058441753;6.412169527997;5.683963224972;4.385713073877;6.062894106637;4.530695324253;5.506030463147;5.77622465703;5.898141549391;
1267;5.502735412002;11.13068276751;13.249400653688;13.76013358115;13.153844170486;11.865479172826;6.583512187533;13.562430512455;14.692633055159;0.488985589905;0.398042178305;13.335071983456;5.285262036438;3.436738344142;2.813973677754;4.438433892196;5.730093941001;6.87677173943;3.845324686111;3.756358305199;6.484660653185;8.086055509612;
127;7.941073259236;10.303624930138;9.931284150763;10.900029187367;11.796283098782;8.214562504264;11.262484813307;10.814357857599;7.749960292831;0.211871788618;0.215166839763;11.595284978943;6.735084540199;4.995297535686;6.922902455459;9.031735188202;9.133881773694;7.328193746283;7.598387940165;7.094245114994;6.945967813473;6.988803478357;
13;9.608369138561;14.827730152101;16.88713711767;10.138872372892;12.478358685779;8.468281442422;9.4864522462;12.583800322416;11.575514672073;0.206270201671;0.24284526938;9.430436376736;17.628523625275;16.972808447438;14.877155919275;10.544163663716;14.092933746786;16.323683371891;15.707508807792;13.700822660541;10.076266401139;14.86727076584;
13025;7.23263726308;16.837711350497;14.027032723887;15.305512568113;13.522889898716;14.620141929971;6.567036931808;13.460283926963;13.93477129183;0.438241802273;0.399030693649;12.303720975099;7.328193746283;5.305032343307;5.21277091125;7.150260984458;8.175021890525;7.924598003512;8.059695100453;6.217761510448;4.586711193717;5.838830628783;
1313;6.293547686781;14.718993464319;13.822739552903;14.952942095607;15.684443449778;16.109505047471;4.962347024236;15.658083040619;9.489747297345;0.369704738459;0.300179159301;14.455389372726;7.450110638644;5.515915616582;3.924405913589;5.133689683772;7.229342211935;9.558943371388;9.338174944679;7.028344092096;5.225951115829;7.120605524153;
1500;6.020058441753;15.549346352836;16.5444517986;15.394478949026;13.173614477355;11.937970298014;8.54077256761;10.619949840049;13.397677955209;0.478111921127;0.425720607923;13.433923517803;6.945967813473;4.84372518302;3.120413434231;4.771234057832;6.787805358517;7.025049040951;6.679068670735;6.240826868462;6.774625153938;7.176621393617;
1502;4.932691563932;14.969417351332;15.79977023985;14.148949616249;16.139160507776;11.680956308711;4.178124851748;16.257782348992;12.000576269767;0.462295675631;0.302485695103;11.351451194219;5.739979094435;4.356057613573;3.001791593014;4.07268321511;5.641127560088;5.924501958551;5.044723302859;4.197895158617;4.369237818152;5.509325514292;
