clusterNumber;ntc;cana;delta_1_deviation;delta_1_meanValue;epsilon_1_deviation;epsilon_1_meanValue;zeta_1_deviation;zeta_1_meanValue;alpha_2_deviation;alpha_2_meanValue;beta_2_deviation;beta_2_meanValue;gamma_2_deviation;gamma_2_meanValue;delta_2_deviation;delta_2_meanValue;chi_1_deviation;chi_1_meanValue;chi_2_deviation;chi_2_meanValue;NN_deviation;NN_meanValue;CC_deviation;CC_meanValue;mu_deviation;mu_meanValue;ribosePseudorotation_1;ribosePseudorotation_2;
109;BA08;B-A;0.13631021458075712;2.4225170017681297;0.16493361431346412;3.6302848441482056;0.19617500792416262;3.715805977495928;0.21153390534171274;5.248030527821749;0.15603243512829304;2.4685936940207798;0.16283921921107095;0.8552113334772214;0.15323990832510212;1.5508995733221613;0.1551597705022959;4.595626453426269;0.20490165418413428;3.7493162991342186;0.247;4.433;0.251;4.912;0.09843656981248018;0.5799729104377156;2.5897195441091863;0.8171631557837451;
110;BA16;B-A;0.07539822368615504;2.5565582883212934;0.19530234329816545;4.290542900177661;0.19565140914856435;3.3089697288560496;0.15498523757709648;1.0716321607245183;0.14172073526193954;3.9891245383582397;0.14433872913993104;3.466049361535539;0.08028514559173915;1.4795156069155933;0.1583013631558857;4.641179546903321;0.1059414855960558;3.4758232053467073;0.271;4.436;0.279;4.815;0.08482300164692441;0.5019566928735693;2.6844909224924782;0.29897490086662865;
113;OP1S;OPN;0.04084070449666731;2.5071654704898547;0.11187560505283653;3.6065483663210824;0.1165879940332212;1.0463248865706007;0.14206980111233844;1.4390239682693249;0.1096066770252439;3.5489525010052696;0.10978120995044333;3.339338457840751;0.0815068760681352;2.560398012675681;0.08185594191853407;4.23207437023585;0.08709192967451704;1.1903145498601329;0.102;7.55;0.104;6.992;0.0747000919853573;1.134813079646713;2.8487264051051446;2.9635690698863715;
114;BB1S;SYN;0.11344640137963143;2.4310691151029014;0.18360863730980345;3.4728561456183167;0.14817845349431857;4.9043751981040655;0.12775810124598494;5.343674570831039;0.14154620233674012;4.503822134771368;0.15603243512829304;5.369854509610954;0.06632251157578452;2.639461427791024;0.22549653935766736;4.143062578384139;0.08395033702092723;1.1578514257730381;0.255;6.507;0.177;6.588;0.04223696789826277;6.237981279552933;2.6567401873857683;3.1122711221562884;
115;OP20;OPN;0.10716321607245181;2.444682683268457;0.15638150097869194;4.73036587168023;0.14852751934471745;4.9371873880415595;0.19250981649497456;5.193750788084726;0.13840460968315033;3.3245031591987986;0.14049900478554353;0.9712757287348442;0.09721483933608417;2.5846580892784026;0.16022122533307945;4.534016330830869;0.1806415775814131;3.7896334048552873;0.337;8.562;0.208;7.836;0.18867009214058703;1.168672467135403;2.6932175687524498;2.9454176456656302;
116;BB02;BBw;0.09634217471008698;2.4535838624536286;0.1165879940332212;3.385066084243002;0.13631021458075712;4.3011894086148255;0.14381513036433274;0.5398303376418461;0.1970476725501598;3.4089770949953246;0.14067353771074298;5.185373207675154;0.08307767239493008;2.6188665426174915;0.14276793281313616;4.396135319923317;0.14538592669112765;4.421617127002435;0.169;4.458;0.164;5.11;0.0804596785169386;0.38117990863556156;2.8145179517660557;3.2382838941502787;
117;BB12;miB;0.13002702927357757;2.448173341772446;0.1349139511791617;3.4142130827513073;0.14119713648634125;4.880464187351744;0.12775810124598494;4.483227249597834;0.1684242728174528;1.3344787460748642;0.12007865253720987;2.9906216732922832;0.1768018532270256;2.4422392223156653;0.15463617172669758;4.693713957388351;0.12060225131280816;3.573736176383589;0.132;3.866;0.145;4.15;0.08203047484373349;0.4201007509550351;2.691821305350854;2.7515115657690603;
119;BBS1;SYN;0.08639379797371932;2.5539402944433025;0.1322959573011702;3.269699820686177;0.14154620233674012;4.789881599173238;0.16196655458507378;5.169490711482005;0.10245082709206714;2.9960321939734658;0.12740903539558604;0.8995426964778774;0.1117010721276371;2.354798226790749;0.15533430342749532;1.1119492664455872;0.18832102629018815;4.5331436662048725;0.163;3.937;0.149;4.549;0.15062191444711065;0.7857472292478472;2.949606435870417;2.583959957577605;
1209;OP11;OPN;0.11519173063162574;2.5661575992072625;0.12671090369478832;4.660378168675258;0.17174039839624203;5.253091982652533;0.1673770752662562;5.191132794206734;0.15987215948268058;3.2637657012293966;0.11484266478122689;0.9948376736367678;0.056897733615015135;1.4652039070492398;0.19739673840055869;4.0933206947023;0.1989675347273536;3.4426619495588153;0.367;8.882;0.31;7.801;0.14608405839192537;1.9226547039969533;2.8450612136759568;0.20280725908174108;
121;AB1S;SYN;0.061086523819801536;1.5781267096532727;0.05707226654021458;3.730117677362281;0.07522369076095559;4.8886672348361175;0.07819075048934597;5.1474995629068765;0.07923794804054256;3.0709068188840223;0.0635299847725936;0.971973860435642;0.08429940287132612;2.4212952712917333;0.07696902001294993;4.165402792809667;0.09285151620609834;1.1854276279545486;0.076;5.433;0.089;6.069;0.03508111796508602;0.01832595714594046;0.5665338751973594;2.549576971313317;
